"","V1","V2","V3","V4"
"1",1,1,1,1
"2",1,1,1,2
"3",1,1,1,3
"4",1,1,1,4
"5",1,1,1,5
"6",1,1,1,6
"7",1,1,2,2
"8",1,1,2,3
"9",1,1,2,4
"10",1,1,2,5
"11",1,1,2,6
"12",1,1,3,3
"13",1,1,3,4
"14",1,1,3,5
"15",1,1,3,6
"16",1,1,4,4
"17",1,1,4,5
"18",1,1,4,6
"19",1,1,5,5
"20",1,1,5,6
"21",1,1,6,6
"22",1,2,2,2
"23",1,2,2,3
"24",1,2,2,4
"25",1,2,2,5
"26",1,2,2,6
"27",1,2,3,3
"28",1,2,3,4
"29",1,2,3,5
"30",1,2,3,6
"31",1,2,4,4
"32",1,2,4,5
"33",1,2,4,6
"34",1,2,5,5
"35",1,2,5,6
"36",1,2,6,6
"37",1,3,3,3
"38",1,3,3,4
"39",1,3,3,5
"40",1,3,3,6
"41",1,3,4,4
"42",1,3,4,5
"43",1,3,4,6
"44",1,3,5,5
"45",1,3,5,6
"46",1,3,6,6
"47",1,4,4,4
"48",1,4,4,5
"49",1,4,4,6
"50",1,4,5,5
"51",1,4,5,6
"52",1,4,6,6
"53",1,5,5,5
"54",1,5,5,6
"55",1,5,6,6
"56",1,6,6,6
"57",2,2,2,2
"58",2,2,2,3
"59",2,2,2,4
"60",2,2,2,5
"61",2,2,2,6
"62",2,2,3,3
"63",2,2,3,4
"64",2,2,3,5
"65",2,2,3,6
"66",2,2,4,4
"67",2,2,4,5
"68",2,2,4,6
"69",2,2,5,5
"70",2,2,5,6
"71",2,2,6,6
"72",2,3,3,3
"73",2,3,3,4
"74",2,3,3,5
"75",2,3,3,6
"76",2,3,4,4
"77",2,3,4,5
"78",2,3,4,6
"79",2,3,5,5
"80",2,3,5,6
"81",2,3,6,6
"82",2,4,4,4
"83",2,4,4,5
"84",2,4,4,6
"85",2,4,5,5
"86",2,4,5,6
"87",2,4,6,6
"88",2,5,5,5
"89",2,5,5,6
"90",2,5,6,6
"91",2,6,6,6
"92",3,3,3,3
"93",3,3,3,4
"94",3,3,3,5
"95",3,3,3,6
"96",3,3,4,4
"97",3,3,4,5
"98",3,3,4,6
"99",3,3,5,5
"100",3,3,5,6
"101",3,3,6,6
"102",3,4,4,4
"103",3,4,4,5
"104",3,4,4,6
"105",3,4,5,5
"106",3,4,5,6
"107",3,4,6,6
"108",3,5,5,5
"109",3,5,5,6
"110",3,5,6,6
"111",3,6,6,6
"112",4,4,4,4
"113",4,4,4,5
"114",4,4,4,6
"115",4,4,5,5
"116",4,4,5,6
"117",4,4,6,6
"118",4,5,5,5
"119",4,5,5,6
"120",4,5,6,6
"121",4,6,6,6
"122",5,5,5,5
"123",5,5,5,6
"124",5,5,6,6
"125",5,6,6,6
"126",6,6,6,6
